,User,Text,Date,Favorites,Retweets,Mentions,HashTags,Search Keywords
88,BronxAdjacent,I am lucky a New Yorker who has spent extended times in the most wonderful cities on earth. For the last three years I have visited #Sarajevo and I am hopelessly obsessed with it. Being separated this summer due to #covid breaks my heart @26th_SFF @radiosarajevo,2020-06-29 18:33:25+00:00,0.0,2.0,@26th_SFF @radiosarajevo,#Sarajevo #covid,covid
89,Qais_Albaghli,"COVID-19 Confirmed Cases. Source: World Health Organization (WHO) @New York, New York https://www.instagram.com/p/CCB3mMLB6ws/?igshid=eo0obercwd6q",2020-06-29 18:33:21+00:00,0.0,0.0,,,covid
90,TimEBrutus,"Here are the @nysdoh update on #coronavirus #COVID19 data for NY state. 46,428 tests were performed yesterday. 391 tests were positive (0.84% of total). Total hospitalizations fell to 853. There were 7 COVID fatalities yesterday. It’s pretty amazing how good these numbers are. ",2020-06-29 18:31:48+00:00,0.0,1.0,@nysdoh,#coronavirus #COVID19,covid
91,AmBeautifulShow,#COVID19 #COVID #coronavirus #Covid_19 #MondayMorning #pandemic #Veterans @ABC,2020-06-29 18:28:14+00:00,0.0,1.0,@ABC,#COVID19 #COVID #coronavirus #Covid_19 #MondayMorning #pandemic #Veterans,covid
92,dpcapturemoment,*Special Offer* use the coupon code Covid-19 #covid19 and get 19% off your #event for the month of July #july #july2020 #specialoffer#dpcapturedmoments #photography #business #isnowopen #takingbookings… https://www.instagram.com/p/CCBwZ0AhJMJ/?igshid=toa8b5rs42ms,2020-06-29 18:18:31+00:00,0.0,0.0,,#covid19 #event #july #july2020 #photography #business #isnowopen #takingbookings,covid
93,kwarnockny,They are also Covid experts.,2020-06-29 18:18:27+00:00,0.0,0.0,,,covid
94,Michael44004861,"Instead of working to help the COVID 19 problem like a real president would in this crisis, Trump plays golf over the weekend and retweet’s a racist video in which one of his supporters says “White Power.” #TrumpIsARacist",2020-06-29 18:16:51+00:00,0.0,1.0,,#TrumpIsARacist,covid
95,LaurenK009,"Or forcing them to stay on a sub infected with Covid-19, and emoting their leader for wanting their safety",2020-06-29 18:15:15+00:00,0.0,1.0,,,covid
96,beckettbrooklyn,Excellent news that ABC found the cure for Covid! https://twitter.com/DEADLINE/status/1277665026929594368,2020-06-29 18:11:36+00:00,0.0,0.0,,,covid
97,Arran_Davis,"I support and participate in the #BLM protests, but was wary they might spread COVID-19 (despite nearly all protesters wearing a mask). But data suggest they didn’t cause the recent spike in the US: states with the most protests (NY, DC, MN) have decreasing cases, on average. ",2020-06-29 18:07:24+00:00,1.0,10.0,,#BLM,covid
98,agordonstudio,"for 23 million Americans with pre-existing conditions, extorted Ukraine, called covid a democratic hoax, bragged that covid SoundCloud magically disappear, encouraged people to inject bleach, tear gassed peaceful protesters. So if you have and useful suggestions on how to end",2020-06-29 17:58:31+00:00,0.0,2.0,,,covid
99,KaitlynOHagan,#4 is SUCH a big deal. deeply related to the fact that govt has proved itself an untrustworthy steward of its employees’ wellbeing. See NYC where educators blame DOE for teachers’ COVID contractions in March (&amp; therefore deaths). We have to actually ensure teachers’ safety... ,2020-06-29 17:54:05+00:00,0.0,1.0,,,covid
100,Robin824,The incredible effect of COVID-19 hasn’t spared any industry ,2020-06-29 17:53:25+00:00,0.0,1.0,,,covid
101,DrDeanSmiles,First case after Covid inserted ... she’s been waiting 3 months for insert... cried after she saw the mirror !!! #smilemakeover #nycsmiles #smilesofny #newyorksmileinstitute #drdeansmiles #smiles4ever @New York… https://www.instagram.com/p/CCByKhTp3Do/?igshid=wfxqycv2cuqj,2020-06-29 17:45:53+00:00,0.0,0.0,,#smilemakeover #nycsmiles #smilesofny #newyorksmileinstitute #drdeansmiles #smiles4ever,covid
102,JuliaSantna,"This is daunting, this huge tent is where Mount Sinai is testing people for Covid. I got a call this morning from the hospital saying I tested negative and that I can stop self-quarantine. Um... yea right...… https://www.instagram.com/p/CCBx8Xdjk0r/?igshid=cy9nuausnm4u",2020-06-29 17:43:57+00:00,0.0,0.0,,,covid
103,OutOfMiddleClas,"Wait , which governor ordered nursing homes to take back covid+ patients ?? Who is responsible for 30k deaths?? You sir",2020-06-29 17:40:19+00:00,0.0,0.0,,,covid
104,misacobar,All praise to the most high for the negative Covid exams,2020-06-29 17:32:30+00:00,0.0,9.0,,,covid
105,joebrentmando,"Shout out to the health care workers who administered my Covid-19 test this morning. The facility was very safe and smoothly run, and I was in and out in less than 5 minutes. I don’t have any symptoms but being certain felt like the responsible thing to do. Get tested if you can!",2020-06-29 17:30:06+00:00,0.0,1.0,,,covid
106,jansel_jadams,How’s it feel knowing your lies about Covid will kill tens of thousands of your VIEWERS. Murder much?!?!,2020-06-29 17:26:55+00:00,0.0,0.0,,,covid
107,Robs_Mets_Talk,All you assholes who don't believe covid-19 isn't a problem anymore read this and learn something! Even if you don't have symptoms you might pass it along to someone who can get very sick or die from the virus. Think about that ,2020-06-29 17:25:35+00:00,0.0,0.0,,,covid
108,acehaa,"When the Covid virus starting hitting hard, I tried to make my dog an indoor dirt patch. It didn’t work.. ",2020-06-29 17:18:26+00:00,0.0,1.0,,,covid
109,KristinFDalton,I keep getting spam emails from my uncle who died (from COVID) and every time I see his name in my inbox it’s like getting smacked in the face.,2020-06-29 17:18:05+00:00,0.0,0.0,,,covid
110,jamieob256,So? You haven't done sh*t about COVID-19. I will take a guy who mis-states a number over one who ignores the numbers any day.,2020-06-29 17:14:40+00:00,0.0,0.0,,,covid
111,natalia13reagan,I was invited to a pool party by a stranger in Wash Sq Park on Friday. Dude was not wearing a mask- I told him he should. I just saw a video from said pool party & no one is wearing a mask or social distancing. This is in NYC. COVID isn’t over. Fuck fuck fuckity fuck.,2020-06-29 17:09:11+00:00,3.0,58.0,,,covid
112,amerimatryoshka,We have been having major problems here with homelessness and mental illness as a result of Covid-19.,2020-06-29 17:05:30+00:00,0.0,1.0,,,covid
113,AmBeautifulShow,#coronavirus #COVID19 #COVID ,2020-06-29 17:03:31+00:00,0.0,0.0,,#coronavirus #COVID19 #COVID,covid
