,User,Text,Date,Favorites,Retweets,Mentions,HashTags,Search Keywords
792,watergatesummer,CDC concerns about Covid antibody tests... ,2020-05-27 23:25:38+00:00,1.0,1.0,,,covid
793,Elah_Avahati,"Lol. If there is going to be a vaccine for Covid-19, there is a very strong likelihood that it may come from Israel, not from a Jonas Salk figure-a Jew in the diaspora...or someone else. @BretBaier @BillHemmer @SandraSmithFox @marthamaccallum @ShannonBream",2020-05-27 23:21:28+00:00,0.0,0.0,@BretBaier @BillHemmer @SandraSmithFox @marthamaccallum @ShannonBream,,covid
794,coledon28,"As I read this tweet I’m forced to ask, if the pnp was in power are you saying the country wouldn’t contract due to covid 19? Are you saying the economy would be robust? If so, please tell us how they would do that ?",2020-05-27 23:19:37+00:00,1.0,4.0,,,covid
795,golfpadgps,How to play golf safely during the pandemic Covid-19 ,2020-05-27 23:19:21+00:00,0.0,0.0,,,covid
796,croccoted,Look what just arrived from #Surrey? #twotone #covid_19 @AnvilEntertainment Productions https://www.instagram.com/p/CAtZ27oDFw1/?igshid=1dej0fqyg07n2,2020-05-27 23:17:18+00:00,0.0,0.0,,#Surrey #twotone #covid_19,covid
797,melissacarty,"You are so cavalier about “some people died” -100,000 Americans died. COVID doesnt care if you vote for Trump. Bc he hasn’t issued a national protocol, it’s coming to everyone’s area if not this spring, this fall. Like me -you will wish we had a real leader #TrumpLiedPeopleDied",2020-05-27 23:08:57+00:00,0.0,0.0,,#TrumpLiedPeopleDied,covid
798,newyorkperi,"A juicy, beach read. “This Is So Unfair to Me”: Trump Whines About His COVID-19 Victimhood as Campaign Flails https://www.vanityfair.com/news/2020/05/trump-whines-about-his-covid-19-victimhood-as-campaign-flails?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=onsite-share&amp;utm_brand=vanity-fair&amp;utm_social-type=earned via @VanityFair",2020-05-27 23:06:13+00:00,0.0,0.0,@VanityFair,,covid
799,dondidonde,"#clapbecausewecarenyc #clapbecausewecare #essentialworkers #nonessentialworkers #openthecountry #covid19 #covid_19 #coronavirus @Manhattan, New York https://www.instagram.com/p/CAtYPbVHYW4/?igshid=l9bp54nanavt",2020-05-27 23:03:34+00:00,0.0,2.0,,#clapbecausewecarenyc #clapbecausewecare #essentialworkers #nonessentialworkers #openthecountry #covid19 #covid_19 #coronavirus,covid
800,Vafata,"My first patient today told me she listened to my podcast on @WMCLive, thanked me for taking care of #COVID patients and told me his son, who is a medical resident, “thinks very highly” of me! Kudos to men who have women role models!",2020-05-27 23:01:45+00:00,3.0,14.0,@WMCLive,#COVID,covid
801,victourfat,E hoje que eu fui fazer o teste de antibodies do covid pra ver se eu já tive a doença,2020-05-27 22:55:29+00:00,0.0,0.0,,,covid
802,jazmynstrode,"nah i disagree, i haven’t been into manhattan in so long (even before covid) whereas arlington can’t really function as it’s own city/is a completely different culture in my experience. people want to live in brooklyn for reasons other than cheap rent which isn’t the case for arl",2020-05-27 22:52:16+00:00,0.0,0.0,,,covid
803,GMinNYC,Trump=Death #TrumpDeathToll100K #TrumpVirus #TrumpIsANationalDisgrace #TrumpIsALaughingStock #VoteBlue2020 #TrumpLiesAmericansDie #COVID #COVIDー19,2020-05-27 22:51:12+00:00,0.0,1.0,,#TrumpDeathToll100K #TrumpVirus #TrumpIsANationalDisgrace #TrumpIsALaughingStock #VoteBlue2020 #TrumpLiesAmericansDie #COVID #COVID,covid
804,JohnBalash,Did people stop dying from COVID?,2020-05-27 22:45:52+00:00,0.0,0.0,,,covid
805,iris4justice,Same week Pelosi returned from SPAIN.Had a special meeting with NATO members &W.H.O.Determined to IMPEACH PRESIDENT TRUMP.Also COVID_19 outbreak &amp; passengers from China were landing at Spain &amp; Italy's airports.What was Pelosi doing in Spain?,2020-05-27 22:38:07+00:00,1.0,1.0,,,covid
806,squinterooo,Just took a covid test just because and it’s actually not as bad as it looks,2020-05-27 22:37:05+00:00,0.0,9.0,,,covid
807,M_Lipshutz,"Jews are supposed to value good doctors and good health. Wear a mask! You can pray in your shul when it will no longer endanger other Jews. If Donald Trump had paid attention to his briefings on Covid 19 in January, you might be praying in shul now! ",2020-05-27 22:31:24+00:00,0.0,0.0,,,covid
808,nataliebello9,@sanjum sharing his #COVID experience in #CardiologyMag @NYPCUCVI @ColumbiaMed @ACCinTouch,2020-05-27 22:30:54+00:00,3.0,7.0,@sanjum @NYPCUCVI @ColumbiaMed @ACCinTouch,#COVID #CardiologyMag,covid
809,swiss_un,"#POCWEEK2020 has started! Don’t miss tomorrow’s side events on persons with disabilities, repercussions of COVID-19, and protecting education! Join and the GoF PoC in our contribution to the global-level advocacy to enhance the protection of civilians in armed conflict! – at United Nations",2020-05-27 22:27:46+00:00,14.0,34.0,,#POCWEEK2020,covid
810,grjr3021,Orrr we can vote out every democrat who’s spending on frivolous things like a failed Solar panel company or to rename a bridge after one’s own father. COVID DID NOT PUT NY 61 billion in the hole YOU DID!,2020-05-27 22:20:14+00:00,0.0,0.0,,,covid
811,EGuedel,"Il y a moins de 3 mois, le 29 février, les Etats-Unis annonçaient qu’une personne venait de mourir du Covid. 100.000 aujourd’hui. ",2020-05-27 22:12:22+00:00,5.0,2.0,,,covid
812,TruthBTLDViaud,Its an ABSOLUTE FACT Hannity lost someone in his life to Covid-19 but said nothing in TV to the nation.He freaking knows now how bad this is. I bet he wont be in Fl. For the RNC Convention ,2020-05-27 22:10:20+00:00,0.0,0.0,,,covid
813,vodkasnowflake,"the left: holy shit, 100,000 COVID deaths the right: oh yeah? what about cancer, heart attacks, gun deat-oh shit, wait, no, hold up, uhh [shuffles through notes] uhh yeah, what about cancer, heart attacks, uhh, cars-",2020-05-27 22:07:08+00:00,0.0,10.0,,,covid
814,Daniellerose726,@GovMurphy in saddle Brook are parade canceled. these three veterans were not going to let this year go by without them sitting at the corner and waved everybody going by saddle River Rd they even brought there own candy. They've been doing this for 30 years I covid was stopping ,2020-05-27 21:59:24+00:00,0.0,0.0,@GovMurphy,,covid
815,gntlmnking,"More than 100,000 souls. These are husbands, wives, sisters, brothers, uncles, aunties, friends, neighbors, and strong people. Now taken by the COVID virus. This is unacceptable!",2020-05-27 21:55:35+00:00,0.0,3.0,,,covid
816,iconofchangeNG,"Let do our part to limit the Spread of COVID @Newark, New Jersey https://www.instagram.com/p/CAtPzwAH7hL/?igshid=19wp2mzvxs09w",2020-05-27 21:49:28+00:00,0.0,0.0,,,covid
817,BobbyDobbins,"This is tough man. We don’t know each other but I’m feelin for you. I had to postpone my wedding bc of COVID... the loss and setback of this chapter sucks bro, but I’m loving your positive attitude!",2020-05-27 21:44:58+00:00,0.0,1.0,,,covid
